Fakturanr.;Fakturadato;Forfallsdato;Kundenummer;Avdelingsnummer;Avdelingsnavn;Prosjektnummer;Prosjektleder Nummer;Beløp ekskl. mva;Valuta;Beløp inkl. mva;Betalt;Utestående;Purring;Purring Status;Purring Sist sendt;Purring Forfallsdato
7878.0;0001-09-30;0001-10-30;10720;;Avdeling;0000.43;;1960.0;NOK;2450.0;2450.0;0.0;;;;
7879.0;0001-09-30;0001-10-30;10483;;Avdeling;0000.25;;63740.0;NOK;79675.0;79675.0;0.0;;;;
7880.0;0001-09-30;0001-10-30;10483;;Avdeling;nan;;102720.0;NOK;128400.0;128400.0;0.0;;;;
7881.0;0001-09-30;0001-10-30;10483;;Avdeling;nan;;23920.0;NOK;29900.0;29900.0;0.0;;;;
7882.0;0001-09-30;0001-10-30;10515;;Avdeling;-001.77;;3200.0;NOK;4000.0;4000.0;0.0;;;;
7883.0;0001-09-30;0001-10-30;10663;;Avdeling;-001.72;;11970.0;NOK;14962.5;14962.5;0.0;;;;
7884.0;0001-09-30;0001-10-30;10795;;Avdeling;-001.45;;2880.0;NOK;3600.0;3600.0;0.0;;;;
7885.0;0001-09-30;0001-11-29;10135;;Avdeling;nan;;12480.0;NOK;15600.0;15600.0;0.0;;;;
7886.0;0001-09-30;0001-10-30;10483;;Avdeling;nan;;9200.0;NOK;11500.0;11500.0;0.0;;;;
7887.0;0001-09-30;0001-10-30;10483;;Avdeling;nan;;18000.0;NOK;22500.0;22500.0;0.0;;;;
7888.0;0001-09-30;0001-10-30;10135;;Avdeling;nan;;43120.0;NOK;53900.0;53900.0;0.0;1.0;Purring;0002-01-08;0002-01-22
7889.0;0001-09-30;0001-10-30;10696;;Avdeling;nan;;161330.0;NOK;201662.5;201662.5;0.0;;;;
7890.0;0001-09-30;0001-10-30;10732;;Avdeling;nan;;27300.0;NOK;34125.0;34125.0;0.0;;;;
7891.0;0001-09-30;0001-09-30;10837;;Avdeling;0001.69;;-77420.0;NOK;-96775.0;0.0;-96775.0;;;;
7892.0;0001-09-30;0001-10-30;10837;;Avdeling;0001.69;;77420.0;NOK;96775.0;96775.0;0.0;;;;
7893.0;0001-10-09;0001-10-09;10641;;Avdeling;-001.45;;-4800.0;NOK;-6000.0;0.0;-6000.0;;;;
7894.0;0001-10-09;0001-10-09;10641;;Avdeling;-001.45;;-20610.0;NOK;-25762.5;0.0;-25762.5;;;;
7895.0;0001-09-30;0001-10-30;10835;;Avdeling;0001.57;;296500.0;NOK;370625.0;370625.0;0.0;;;;
7896.0;0001-09-30;0001-10-30;10171;;Avdeling;nan;;29350.0;NOK;36687.5;36687.5;0.0;;;;
7897.0;0001-09-30;0001-09-30;10009;;Avdeling;0001.77;;-101388.0;NOK;-126735.0;0.0;-126735.0;;;;
7898.0;0001-09-30;0001-10-30;10009;;Avdeling;0001.77;;139650.0;NOK;174562.5;174562.5;0.0;;;;
7899.0;0001-10-31;0001-11-30;10847;;Avdeling;0001.59;;331000.0;NOK;413750.0;413750.0;0.0;1.0;Purring;0002-01-08;0002-01-22
7900.0;0001-10-31;0001-11-30;10848;;Avdeling;0001.83;;39600.0;NOK;49500.0;49500.0;0.0;;;;
7901.0;0001-10-31;0001-11-30;10009;;Avdeling;0001.77;;315088.72;NOK;393860.9;393860.9;0.0;;;;
7902.0;0001-10-31;0001-11-30;10849;;Avdeling;0001.43;;193830.0;NOK;242287.5;0.0;242287.5;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7903.0;0001-10-31;0001-11-30;10171;;Avdeling;nan;;4060.0;NOK;5075.0;0.0;5075.0;;;;
7904.0;0001-10-31;0001-11-30;10657;;Avdeling;nan;;72900.0;NOK;91125.0;91125.0;0.0;;;;
7905.0;0001-10-31;0001-11-30;10844;;Avdeling;0001.67;;21000.0;NOK;26250.0;26250.0;0.0;;;;
7906.0;0001-10-31;0001-11-30;10843;;Avdeling;nan;;24150.0;NOK;30187.5;30187.5;0.0;;;;
7907.0;0001-10-31;0001-11-30;10836;;Avdeling;0001.66;;28350.0;NOK;35437.5;35437.5;0.0;;;;
